set_number,quantity,display
75074-1,1,t
70805-1,1,f
8263-1,1,f
6212-1,1,f
21303-1,1,t
71218-1,1,f
10246-1,1,t
8149-1,1,f
60025-1,1,f
31010-1,1,f
40205-1,1,t
75095-1,1,t
30524-1,1,f
30274-1,1,f
60060-1,1,f
21017-1,1,t
60018-1,1,f
10227-1,1,t
10178-1,1,f
71231-1,1,f
70806-1,1,f
10216-1,1,f
7784-1,1,t
75130-1,1,t
71216-1,1,f
79008-1,1,t
75046-1,1,f
31000-1,1,f
10235-1,1,f
75076-1,1,t
70804-1,1,f
71214-1,1,f
71210-1,1,f
71247-1,1,t
40138-1,1,t
7667-1,1,f
75099-1,1,f
75077-1,1,t
75910-1,1,f
8145-1,1,t
4695-1,1,f
75031-1,1,t
30422-1,1,t
70813-1,1,f
75121-1,1,t
70816-1,1,f
75125-1,1,t
30300-1,1,f
8084-1,1,f
75127-1,1,t
5004420-1,2,f
75161-1,1,t
75128-1,1,t
42035-1,1,f
75126-1,1,t
75163-1,1,t
10019-1,1,t
42042-1,1,t
10218-1,1,t
8010-1,1,f
75073-1,1,t
75129-1,1,t
10259-1,1,f
75137-1,1,t
9492-1,1,f
40034-1,1,t
71206-1,1,f
75060-1,1,t
60053-1,1,f
75162-1,1,t
71213-1,1,f
75160-1,1,t
71207-1,1,f
30611-1,1,t
71219-1,1,f
40139-1,1,t
70807-1,1,f
10212-1,1,t
75075-1,1,t
7191-1,1,t
71004-9,1,f
42031-1,1,f
71212-1,1,f
4723-1,1,f
10211-1,1,t
10174-1,1,t
8002-1,1,f
60032-1,1,f
30197-1,1,f
30056-1,1,f
42056-1,1,t
8028-1,1,f
31313-1,1,t
10247-1,1,t
10243-1,1,t
71203-1,1,f
75059-1,1,t
9797-1,1,t
71221-1,3,f
40206-1,1,f
70800-1,1,f
30228-1,1,f
75146-1,1,f
7749-1,1,f
70818-1,1,f
30428-1,2,f
75028-1,1,t
71209-1,1,f
40223-1,2,f
30279-1,1,f
75032-1,1,t
60002-1,1,f
71227-1,1,f
70814-1,1,t
10199-1,1,f
75111-1,1,t
8160-1,1,f
71174-1,1,f
10229-1,1,f
10245-1,1,f
60133-1,1,f
9679-1,1,f
8110-1,1,t
75179-1,1,t
75033-1,1,t
8098-1,1,f
7625-1,1,f
10251-1,1,t
7499-1,1,t
10232-1,1,t
75072-1,1,t
850850-1,1,f
9488-1,1,f
4721-1,1,f
9676-1,1,f
76023-1,1,t
75030-1,1,t
10254-1,1,f
75029-1,1,t
10179-1,1,t
75144-1,1,t
10222-1,1,f
8264-1,1,f
